0.4091,0.3077,0.5522,0.3438,0
0.3182,0.6923,0.1045,0.0625,1
0.9545,0.5385,1.0000,0.9375,2
0.3864,0.3462,0.5224,0.4375,3
0.5682,0.3077,0.5672,0.4063,4
0.2500,0.5385,0.0746,0.0938,5
0.2955,0.3462,0.3881,0.3750,6
0.7727,0.7308,0.7313,0.9375,7
0.4318,0.0769,0.5224,0.4375,8
0.3409,0.2692,0.4328,0.3438,9
0.6818,0.7692,0.7313,0.8438,10
0.1136,0.3846,0.0597,0.0000,11
0.2727,0.5769,0.0448,0.0313,12
0.1364,0.4231,0.0746,0.0000,13
0.1818,0.6923,0.0746,0.0625,14
0.4545,0.5000,0.5522,0.4688,15
0.6818,0.6923,0.8358,0.9063,16
0.2955,0.1923,0.4328,0.3125,17
0.3182,0.3077,0.5224,0.3750,18
0.6591,0.6154,0.8060,0.9063,19
0.0909,0.4615,0.0896,0.0313,20
0.5909,0.6923,0.7015,0.7813,21
0.1591,0.5385,0.0896,0.0938,22
0.6591,0.6154,0.8060,0.8750,23
1.0000,1.0000,0.9254,0.8438,24
0.7273,0.6923,0.7463,0.9375,25
0.7273,0.5000,0.8358,0.7813,26
0.7500,0.7692,0.8507,0.9375,27
0.1136,0.3846,0.0597,0.0625,28
0.1136,0.4231,0.0896,0.0313,29
0.0682,0.6154,0.0000,0.0313,30
0.3182,0.9231,0.0746,0.0938,31
0.5455,0.4231,0.5075,0.4063,32
0.1136,0.5385,0.0896,0.0313,33
0.0227,0.4615,0.0448,0.0313,34
0.6364,0.5000,0.7164,0.8125,35
0.4773,0.4615,0.5224,0.4375,36
0.2045,0.5769,0.0746,0.0313,37
0.1591,0.6154,0.0597,0.0313,38
0.2045,0.8077,0.0746,0.0000,39
0.5227,0.5769,0.7313,0.8125,40
0.3864,0.5385,0.5224,0.4688,41
0.5455,0.4231,0.5522,0.4375,42
0.2500,0.7308,0.0448,0.0938,43
0.2500,0.6538,0.0746,0.0313,44
0.2727,0.1538,0.4030,0.2813,45
0.6364,0.6154,0.7313,0.6875,46
0.6591,0.7308,0.7910,0.7813,47
0.5227,0.3846,0.5075,0.4063,48
0.8409,0.9231,0.8806,1.0000,49
0.3182,0.3462,0.4776,0.3750,50
0.9318,0.6923,0.9552,0.8750,51
0.2955,0.3846,0.5224,0.4375,52
0.1818,0.5769,0.0597,0.0313,53
0.9545,0.6154,0.9701,0.8438,54
0.3409,0.2692,0.4627,0.2813,55
0.2045,0.5385,0.0597,0.0313,56
0.1591,0.5769,0.0448,0.0625,57
0.1818,0.6923,0.1343,0.0938,58
0.1591,0.0000,0.3731,0.2813,59
0.6364,0.5769,0.7015,0.7813,60
0.1136,0.5385,0.1343,0.0313,61
0.1591,0.3846,0.0896,0.0313,62
0.1818,0.5000,0.1045,0.1250,63
0.2955,0.2692,0.4776,0.3750,64
0.1818,0.5385,0.0746,0.0313,65
0.3182,0.3846,0.4776,0.3438,66
0.9545,1.0000,0.9701,0.9063,67
0.0682,0.4615,0.0597,0.0313,68
0.4318,0.3462,0.4925,0.3750,69
0.5000,0.5000,0.7164,0.8438,70
0.2727,0.8462,0.0597,0.0313,71
0.5682,0.6923,0.6866,0.7813,72
0.5227,0.5769,0.7313,0.8125,40
0.3864,0.0769,0.4478,0.2813,73
0.2500,0.3846,0.5224,0.4375,74
0.6136,0.8462,0.7761,0.9375,75
0.2727,0.1154,0.4478,0.3750,76
0.2500,0.7308,0.1045,0.0938,77
0.1591,0.1154,0.3433,0.2813,78
0.6591,0.5769,0.7612,0.8125,79
0.1591,0.5000,0.0597,0.0313,80
0.1591,0.4615,0.0299,0.0313,81
0.2727,0.1538,0.4179,0.3125,82
0.5455,0.3846,0.5970,0.5000,83
0.1364,0.4231,0.0746,0.0000,13
0.5227,0.6154,0.7313,0.9688,84
0.1591,0.5385,0.0746,0.0313,85
0.1591,0.5769,0.0896,0.1563,86
0.3636,0.4615,0.5672,0.5313,87
0.1818,0.1923,0.2985,0.3125,88
0.7727,0.7692,0.8209,0.9375,89
0.3864,0.2692,0.6119,0.4688,90
0.5909,0.5385,0.8060,0.6563,91
0.9545,0.6923,0.8806,0.9375,92
0.2727,0.1923,0.4478,0.3750,93
0.0227,0.3462,0.0597,0.0313,94
0.0000,0.3846,0.0149,0.0000,95
0.5682,0.3846,0.7164,0.6875,96
0.8409,0.7692,0.8657,0.7813,97
0.0682,0.4231,0.0746,0.0313,98
0.1818,0.5769,0.0597,0.0625,99
0.0227,0.3846,0.0448,0.0313,100
0.4545,0.1923,0.5821,0.4375,101
0.6364,0.8462,0.8060,0.9688,102
0.0682,0.5385,0.0597,0.0625,103
0.7500,0.6923,0.7910,0.8750,104
0.6364,0.8077,0.8657,1.0000,105
0.0909,0.4615,0.0448,0.0313,106
0.4091,0.3462,0.5522,0.4063,107
0.5000,0.3077,0.5373,0.4375,108
0.6136,0.6154,0.6866,0.7813,109
0.6136,0.4615,0.5522,0.4063,110
0.6591,0.7692,0.7612,0.9375,111
0.1818,0.6923,0.0896,0.0313,112
0.7727,0.7308,0.7761,0.8750,113
0.3636,0.3846,0.4776,0.4375,114
0.6818,0.6923,0.7463,0.8438,115
0.3182,0.2308,0.3731,0.2813,116
0.2045,0.2692,0.4328,0.4063,117
0.4091,0.3846,0.5373,0.4063,118
0.0455,0.1154,0.0448,0.0625,119
0.5227,0.3462,0.5373,0.3750,120
0.2727,0.2308,0.5075,0.3438,121
0.2273,0.6538,0.0746,0.0313,122
0.2955,0.3846,0.4627,0.3750,123
0.8636,0.6538,0.9104,0.7813,124
0.7273,0.8077,0.8209,0.8750,125
0.1818,0.6538,0.0746,0.0938,126
0.1364,0.1538,0.3433,0.2813,127
0.7273,0.8077,0.8209,1.0000,128
0.8409,0.6923,0.8358,0.7188,129
0.1364,0.4231,0.0746,0.0000,13
0.7273,0.7308,0.8060,0.9688,130
0.1364,0.3846,0.0597,0.0313,131
0.5909,0.4231,0.5821,0.4375,132
0.8864,0.6154,0.8806,0.8125,133
0.6364,0.6538,0.8060,0.7813,134
0.3182,0.3077,0.4627,0.3750,135
0.6818,0.6923,0.7910,0.7813,136
0.4545,0.1154,0.5075,0.3750,137
0.4773,0.3462,0.4925,0.3750,138
0.4773,0.6154,0.7015,0.8438,139
0.5455,0.6923,0.7313,0.7813,140
0.2500,0.5385,0.1045,0.0313,141
0.4091,0.3077,0.4478,0.3750,142
0.3182,0.5000,0.6418,0.7500,143
0.3409,0.7692,0.0299,0.0313,144
0.3409,0.2308,0.4478,0.3438,145
0.8182,0.6923,0.8507,0.8750,146
